member_id|set_en|set_ur|sort_order|gloss_ur|nuance_en|nuance_ur|topic_id|book_ref
NSM:TO:TO_BE_SAD:X211EACA3|To be sad|غمگین ہونا|5|غمگین ہونا|To be sad||GH8|Kailani — topic GH8
NSM:TO:TO_BE_STEADFAST:XE57C96BA|To be steadfast|ثابت قدم رہنا  رکھنا|1|ثابت قدم رہنا رکھنا|To be steadfast||TH2|Kailani — topic TH2
NSM:TO:TO_BE_STEADFAST:XBE0FA08B|To be steadfast|ثابت قدم رہنا  رکھنا|2|ثابت قدم رہنا رکھنا|To be steadfast||TH2|Kailani — topic TH2
NSM:TO:TO_BE_STEADFAST:X36A9D753|To be steadfast|ثابت قدم رہنا  رکھنا|3|ثابت قدم رہنا رکھنا|To be steadfast||TH2|Kailani — topic TH2
NSM:TO:TO_BE_STEADFAST:X0458023B|To be steadfast|ثابت قدم رہنا  رکھنا|4|ثابت قدم رہنا  رکھنا|To be steadfast||TH2|Kailani — topic TH2
NSM:TO:TO_BIND_FASTEN_SHACKLE:X6245B4D0|To bind, fasten, shackle|جکڑنا|1|جکڑنا|To bind, fasten, shackle||J7|Kailani — topic J7
NSM:TO:TO_BIND_FASTEN_SHACKLE:XC67F042D|To bind, fasten, shackle|جکڑنا|2|جکڑنا|To bind, fasten, shackle||J7|Kailani — topic J7
NSM:TO:TO_BIND_FASTEN_SHACKLE:X4995317A|To bind, fasten, shackle|جکڑنا|3|جکڑنا|To bind, fasten, shackle||J7|Kailani — topic J7
NSM:TO:TO_BLOW:XDEF2FCEC|To blow|پھونک مارنا|5|پھونک مارنا|To blow||P39|Kailani — topic P39
NSM:TO:TO_BREAK:XF04227E7|To break|ٹوٹنا|9|ٹوٹنا|To break||T24|Kailani — topic T24
NSM:TO:TO_BREAK:X05B2F501|To break|ٹوٹنا|10|ٹوٹنا|To break||T24|Kailani — topic T24
NSM:TO:TO_BRING_FOOD_NOURISHMENT:XC67F042D|To bring food/nourishment|خوراک لانا|1|خوراک لانا|To bring food/nourishment||KH16|Kailani — topic KH16
NSM:TO:TO_BRING_FOOD_NOURISHMENT:X36A9D753|To bring food/nourishment|خوراک لانا|2|خوراک لانا|To bring food/nourishment||KH16|Kailani — topic KH16
NSM:TO:TO_BRING_UP_NURTURE:XFF7DC1CB|To bring up/nurture|پرورش کرنا|6|پرورش کرنا|To bring up/nurture||P15|Kailani — topic P15
NSM:TO:TO_BURST_EXPLODE:X3357C3E7|To Burst, explode|پھٹنا|6|پھٹنا|To Burst, explode||P33|Kailani — topic P33
NSM:TO:TO_CHOOSE:X68A74B81|To choose|چن لینا|3|چن لینا|To choose||CH18|Kailani — topic CH18
NSM:TO:TO_CHOOSE:X84D816DC|To choose|چن لینا|5|چن لینا|To choose||CH18|Kailani — topic CH18
NSM:TO:TO_CHOOSE:X578EDDC7|To choose|چن لینا|6|چن لینا|To choose||CH18|Kailani — topic CH18
NSM:TO:TO_CLEANSE_WIPE:X05A3F05A|To cleanse, wipe|صاف کرنا|1|صاف کرنا|To cleanse, wipe||SA1|Kailani — topic SA1
NSM:TO:TO_CLIMB_ASCEND_RISE:X07DAB2BA|To climb, ascend, rise|چڑھنا|1|چڑھنا|To climb, ascend, rise||CH9|Kailani — topic CH9
NSM:TO:TO_CLIMB_ASCEND_RISE:X0F12E4DC|To climb, ascend, rise|چڑھنا|3|چڑھنا|To climb, ascend, rise||CH9|Kailani — topic CH9
NSM:TO:TO_CLIMB_ASCEND_RISE:XEAEB2489|To climb, ascend, rise|چڑھنا|6|چڑھنا|To climb, ascend, rise||CH9|Kailani — topic CH9
NSM:TO:TO_COME_FORWARD_TO_GO_FORWARD:X27D24B59|To come forward, to go forward|آگے آنا بڑھنا|1|آگے آنا بڑھنا|To come forward, to go forward||A22|Kailani — topic A22
NSM:TO:TO_CONCEAL:X854A312A|To conceal|چھپانا|1|چھپانا|To conceal||CH24|Kailani — topic CH24
NSM:TO:TO_CONCEAL:X6245B4D0|To conceal|چھپانا|2|چھپانا|To conceal||CH24|Kailani — topic CH24
NSM:TO:TO_CONCEAL:XBE0FA08B|To conceal|چھپانا|3|چھپانا|To conceal||CH24|Kailani — topic CH24
NSM:TO:TO_CONCEAL:X2CF31940|To conceal|چھپانا|4|چھپانا|To conceal||CH24|Kailani — topic CH24
NSM:TO:TO_CORRECT_RECTIFY:XF422A4A2|To correct, rectify|درست کرنا|3|درست کرنا|To correct, rectify||D9|Kailani — topic D9
NSM:TO:TO_COUNT:X1659DD82|To count|گننا|4|گننا|To count||GG17|Kailani — topic GG17
NSM:TO:TO_COVER:XF59A2646|To cover|اوڑھنا|8|اوڑھنا|To cover||AA45|Kailani — topic AA45
NSM:TO:TO_COVER_VEIL:XA0658D47|To cover, veil|پردہ کرنا|3|پردہ کرنا|To cover, veil||P14|Kailani — topic P14
NSM:TO:TO_CREATE:X74D0D39F|To create|پیدا کرنا|7|پیدا کرنا|To create||P54|Kailani — topic P54
NSM:TO:TO_CURE_TO_BE_HEALTHY:X3721288C|To cure, to be healthy|تندرست کرنا -ہونا|4|تندرست کرنا -ہونا|To cure, to be healthy||T20|Kailani — topic T20
NSM:TO:TO_CURE_TO_BE_HEALTHY:X96E8F981|To cure, to be healthy|تندرست کرنا -ہونا|5|تندرست کرنا -ہونا|To cure, to be healthy||T20|Kailani — topic T20
NSM:TO:TO_DECEIVE:X2D7F160C|To deceive|دھوکہ دینا|7|دھوکہ دینا|To deceive||D29|Kailani — topic D29
NSM:TO:TO_DELIVER:XCA4F66B3|To deliver|پہنچانا|5|پہنچانا|To deliver||P31|Kailani — topic P31
NSM:TO:TO_DISCARD:X6C03F86B|To discard|پھینکنا|7|پھینکنا|To discard||P41|Kailani — topic P41
NSM:TO:TO_DISGRACE:X15DFFE97|To disgrace|ذلیل کرنا|7|ذلیل کرنا|To disgrace||DH5|Kailani — topic DH5
NSM:TO:TO_DISTANCE_TO_BE_DISTANCED:X0FB8079A|To distance, to be distanced|دور کرنا - ہونا|6|دور کرنا - ہونا|To distance, to be distanced||D19|Kailani — topic D19
NSM:TO:TO_DISTANCE_TO_BE_DISTANCED:X96E8F981|To distance, to be distanced|دور کرنا - ہونا|7|دور کرنا - ہونا|To distance, to be distanced||D19|Kailani — topic D19
NSM:TO:TO_DRAG:XFC876295|To drag|گھسیٹنا|4|گھسیٹنا|To drag||GG25|Kailani — topic GG25
NSM:TO:TO_DRINK:XA721355C|To drink|پینا|4|پینا|To drink||P59|Kailani — topic P59
NSM:TO:TO_DROWN_DIP:X2F2406C7|To drown, dip|ڈبونا|3|ڈبونا|To drown, dip||DD2|Kailani — topic DD2
NSM:TO:TO_ENTER_TO_BE_ENTERED:X279FE18E|To enter, to be entered|داخل ہونا - کرنا|5|داخل ہونا - کرنا|To enter, to be entered||D1|Kailani — topic D1
NSM:TO:TO_ENTER_TO_BE_ENTERED:X84CCA38D|To enter, to be entered|داخل ہونا - کرنا|6|داخل ہونا - کرنا|To enter, to be entered||D1|Kailani — topic D1
NSM:TO:TO_ENTRUST:XBE0FA08B|To entrust|سپرد [حوالے] کرنا|1|سپرد [حوالے] کرنا|To entrust||S8|Kailani — topic S8
NSM:TO:TO_ENTRUST:X6245B4D0|To entrust|سپرد [حوالے] کرنا|2|سپرد [حوالے] کرنا|To entrust||S8|Kailani — topic S8
NSM:TO:TO_ENTRUST:X861183A4|To entrust|سپرد [حوالے] کرنا|3|سپرد [حوالے] کرنا|To entrust||S8|Kailani — topic S8
NSM:TO:TO_ENTRUST:X6E6A73AD|To entrust|سپرد [حوالے] کرنا|4|سپرد [حوالے] کرنا|To entrust||S8|Kailani — topic S8
NSM:TO:TO_ENTRUST:XDD9EAB70|To entrust|سپرد [حوالے] کرنا|5|سپرد [حوالے] کرنا|To entrust||S8|Kailani — topic S8
NSM:TO:TO_ENTRUST:X9FB6B1B5|To entrust|سپرد [حوالے] کرنا|6|سپرد [حوالے] کرنا|To entrust||S8|Kailani — topic S8
NSM:TO:TO_ENTRUST:X84CCA38D|To entrust|سپرد [حوالے] کرنا|7|سپرد [حوالے] کرنا|To entrust||S8|Kailani — topic S8
NSM:TO:TO_ESTABLISH:XDEE5FC38|To establish|راہ ڈالنا –رائج کرنا|4|راہ ڈالنا –رائج کرنا|To establish||R4|Kailani — topic R4
NSM:TO:TO_ESTABLISH:XC4917C53|To establish|راہ ڈالنا –رائج کرنا|5|راہ ڈالنا –رائج کرنا|To establish||R4|Kailani — topic R4
NSM:TO:TO_EXCEED_BOUNDS_TRANSGRESS:X2A6B4D1E|To exceed bounds, transgress|حد سے بڑھنا – زیادتی کرنا|1|حد سے بڑھنا – زیادتی کرنا|To exceed bounds, transgress||HA5|Kailani — topic HA5
NSM:TO:TO_EXCEED_BOUNDS_TRANSGRESS:X6742E598|To exceed bounds, transgress|حد سے بڑھنا – زیادتی کرنا|2|حد سے بڑھنا – زیادتی کرنا|To exceed bounds, transgress||HA5|Kailani — topic HA5
NSM:TO:TO_FACE:XBE0FA08B|To face|رخ کرنا|1|رخ کرنا|To face||R7|Kailani — topic R7
NSM:TO:TO_FACE:X6A9B00BF|To face|رخ کرنا|2|رخ کرنا|To face||R7|Kailani — topic R7
NSM:TO:TO_FACE:XA0C4F3EF|To face|رخ کرنا|3|رخ کرنا|To face||R7|Kailani — topic R7
NSM:TO:TO_FACE_APPEAR_IN_FRONT_OF:XBE0FA08B|To face, appear in front of|سامنے آنا|1|سامنے آنا|To face, appear in front of||S5|Kailani — topic S5
NSM:TO:TO_FACE_APPEAR_IN_FRONT_OF:XCB22E4A9|To face, appear in front of|سامنے آنا|2|سامنے آنا|To face, appear in front of||S5|Kailani — topic S5
NSM:TO:TO_FACE_APPEAR_IN_FRONT_OF:XE0715531|To face, appear in front of|سامنے آنا|3|سامنے آنا|To face, appear in front of||S5|Kailani — topic S5
NSM:TO:TO_FALL_CAUSE_TO_FALL:X1F191B25|To fall, cause to fall|گرنا - گرانا|20|گرنا - گرانا|To fall, cause to fall||GG7|Kailani — topic GG7
NSM:TO:TO_FALL_CAUSE_TO_FALL:X06AE7E15|To fall, cause to fall|گرنا - گرانا|21|گرنا - گرانا|To fall, cause to fall||GG7|Kailani — topic GG7
NSM:TO:TO_FALL_SHORT:X9F231F21|To fall short|حد سے کم کرنا|1|حد سے کم کرنا|To fall short||HA6|Kailani — topic HA6
NSM:TO:TO_FALSIFY_BELIE_REFUTE:XC5DCBBC2|To falsify, belie, refute|جھٹلانا|1|جھٹلانا|To falsify, belie, refute||J28|Kailani — topic J28
NSM:TO:TO_FEAR:XA5A6FC94|To fear|ڈرنا|13|ڈرنا|To fear||DD3|Kailani — topic DD3
NSM:TO:TO_FOLLOW:X4F3A36BD|To follow|پیچھا کرنا|4|پیچھا کرنا|To follow||P46|Kailani — topic P46
NSM:TO:TO_FORCE:XBE0FA08B|To force|زبردستی کرنا|1|زبردستی کرنا|To force||Z2|Kailani — topic Z2
NSM:TO:TO_FORCE:X51C9A584|To force|زبردستی کرنا|2|زبردستی کرنا|To force||Z2|Kailani — topic Z2
NSM:TO:TO_FORCE:XC67F042D|To force|زبردستی کرنا|3|زبردستی کرنا|To force||Z2|Kailani — topic Z2
NSM:TO:TO_FORCE:X861183A4|To force|زبردستی کرنا|4|زبردستی کرنا|To force||Z2|Kailani — topic Z2
NSM:TO:TO_FORCE:X36A9D753|To force|زبردستی کرنا|5|زبردستی کرنا|To force||Z2|Kailani — topic Z2
NSM:TO:TO_FORCE:XA4BB7946|To force|زبردستی کرنا|6|زبردستی کرنا|To force||Z2|Kailani — topic Z2
NSM:TO:TO_FRIGHTEN:X1A9806C4|To frighten|ڈرانا|6|ڈرانا|To frighten||DD4|Kailani — topic DD4
NSM:TO:TO_GIVE:X94A4411D|To give|دینا|11|دینا|To give||D34|Kailani — topic D34
NSM:TO:TO_GIVE_BIRTH:X6245B4D0|To give birth|جننا|1|جننا|To give birth||J16|Kailani — topic J16
NSM:TO:TO_GIVE_DIVINE_HELP:X73FE5FAF|To give Divine help|توفیق دینا-|3|توفیق دینا-|To give Divine help||T25|Kailani — topic T25
NSM:TO:TO_GRASP_TO_ARREST:X4D813BC2|To grasp, to arrest|گرفت کرنا|4|گرفت کرنا|To grasp, to arrest||GG4|Kailani — topic GG4
NSM:TO:TO_GRAZE:X36A9D753|To graze|چرانا|1|چرانا|To graze||CH8|Kailani — topic CH8
NSM:TO:TO_GRAZE:XBE0FA08B|To graze|چرانا|2|چرانا|To graze||CH8|Kailani — topic CH8
NSM:TO:TO_GRAZE:X6A2E6CA2|To graze|چرانا|3|چرانا|To graze||CH8|Kailani — topic CH8
NSM:TO:TO_HASTEN_TO_HURRY:X861183A4|To hasten, to hurry|جلدی کرنا|1|جلدی کرنا|To hasten, to hurry||J10|Kailani — topic J10
NSM:TO:TO_HASTEN_TO_HURRY:XA0F49047|To hasten, to hurry|جلدی کرنا|2|جلدی کرنا|To hasten, to hurry||J10|Kailani — topic J10
NSM:TO:TO_HASTEN_TO_HURRY:XBE0FA08B|To hasten, to hurry|جلدی کرنا|3|جلدی کرنا|To hasten, to hurry||J10|Kailani — topic J10
NSM:TO:TO_HASTEN_TO_HURRY:XCB22E4A9|To hasten, to hurry|جلدی کرنا|4|جلدی کرنا|To hasten, to hurry||J10|Kailani — topic J10
NSM:TO:TO_HASTEN_TO_HURRY:X6E6A73AD|To hasten, to hurry|جلدی کرنا|5|جلدی کرنا|To hasten, to hurry||J10|Kailani — topic J10
NSM:TO:TO_HASTEN_TO_HURRY:X6DDAA72E|To hasten, to hurry|جلدی کرنا|6|جلدی کرنا|To hasten, to hurry||J10|Kailani — topic J10
NSM:TO:TO_HASTEN_TO_HURRY:X36A9D753|To hasten, to hurry|جلدی کرنا|7|جلدی کرنا|To hasten, to hurry||J10|Kailani — topic J10
NSM:TO:TO_HASTEN_TO_HURRY:XABA275FF|To hasten, to hurry|جلدی کرنا|9|جلدی کرنا|To hasten, to hurry||J10|Kailani — topic J10
NSM:TO:TO_HONOUR_RESPECT:X85999370|To honour, respect|تعظیم کرنا|3|تعظیم کرنا|To honour, respect||T16|Kailani — topic T16
NSM:TO:TO_INCLINE:X36A9D753|To incline|رغبت کرنا|1|رغبت کرنا|To incline||R12|Kailani — topic R12
NSM:TO:TO_INCLINE:X6A9B00BF|To incline|رغبت کرنا|2|رغبت کرنا|To incline||R12|Kailani — topic R12
NSM:TO:TO_INCLINE:X8241DEEA|To incline|رغبت کرنا|3|رغبت کرنا|To incline||R12|Kailani — topic R12
NSM:TO:TO_INDICATE:X6591D488|To indicate|اشارہ کرنا|4|اشارہ کرنا|To indicate||AA21|Kailani — topic AA21
NSM:TO:TO_JOIN:X6245B4D0|To join|جوڑنا|1|جوڑنا|To join||J20|Kailani — topic J20
NSM:TO:TO_JOIN:X84D816DC|To join|جوڑنا|2|جوڑنا|To join||J20|Kailani — topic J20
NSM:TO:TO_JOIN:X36A9D753|To join|جوڑنا|3|جوڑنا|To join||J20|Kailani — topic J20
NSM:TO:TO_JOIN:X6E6A73AD|To join|جوڑنا|4|جوڑنا|To join||J20|Kailani — topic J20
NSM:TO:TO_JOIN:XC67F042D|To join|جوڑنا|5|جوڑنا|To join||J20|Kailani — topic J20
NSM:TO:TO_JOIN:X6FCD4F0B|To join|جوڑنا|8|جوڑنا|To join||J20|Kailani — topic J20
NSM:TO:TO_KNOW:XA0F49047|To know|جاننا|1|جاننا|To know||J2|Kailani — topic J2
NSM:TO:TO_KNOW:XBE0FA08B|To know|جاننا|2|جاننا|To know||J2|Kailani — topic J2
NSM:TO:TO_LEAN_AGAINST_SOMETHING:X479A2FAA|To lean against something|ٹیک لگانا|3|ٹیک لگانا|To lean against something||TT8|Kailani — topic TT8
NSM:TO:TO_LEAVE:X6A9B00BF|To leave|چھوڑنا|1|چھوڑنا|To leave||CH26|Kailani — topic CH26
NSM:TO:TO_LEAVE:X517D3358|To leave|چھوڑنا|2|چھوڑنا|To leave||CH26|Kailani — topic CH26
NSM:TO:TO_LEAVE:XA0F49047|To leave|چھوڑنا|3|چھوڑنا|To leave||CH26|Kailani — topic CH26
NSM:TO:TO_LEAVE:X84D816DC|To leave|چھوڑنا|4|چھوڑنا|To leave||CH26|Kailani — topic CH26
NSM:TO:TO_LEAVE:XB15AA8E2|To leave|چھوڑنا|6|چھوڑنا|To leave||CH26|Kailani — topic CH26
NSM:TO:TO_LEAVE:XD6F7C01D|To leave|چھوڑنا|7|چھوڑنا|To leave||CH26|Kailani — topic CH26
NSM:TO:TO_LEAVE:X290829FE|To leave|چھوڑنا|8|چھوڑنا|To leave||CH26|Kailani — topic CH26
NSM:TO:TO_LEAVE_BEHIND:X290829FE|To leave behind|چھوڑنا|3|چھوڑنا|To leave behind||P49|Kailani — topic P49
NSM:TO:TO_LIBERATE_TO_FREE:XBE0FA08B|To liberate, to free|خلاصی چھٹکارا پانا|1|خلاصی چھٹکارا پانا|To liberate, to free||KH11|Kailani — topic KH11
NSM:TO:TO_LIBERATE_TO_FREE:X8E336B82|To liberate, to free|خلاصی چھٹکارا پانا|2|خلاصی چھٹکارا پانا|To liberate, to free||KH11|Kailani — topic KH11
NSM:TO:TO_LIE_FABRICATE:X854A312A|To lie, fabricate|جھوٹ بولنا یا بنانا|1|جھوٹ بولنا یا بنانا|To lie, fabricate||J27|Kailani — topic J27
NSM:TO:TO_LIE_FABRICATE:X6A9B00BF|To lie, fabricate|جھوٹ بولنا یا بنانا|3|جھوٹ بولنا یا بنانا|To lie, fabricate||J27|Kailani — topic J27
NSM:TO:TO_LIE_FABRICATE:X6797CCC6|To lie, fabricate|جھوٹ بولنا یا بنانا|4|جھوٹ بولنا یا بنانا|To lie, fabricate||J27|Kailani — topic J27
NSM:TO:TO_LIKE:XB1781E20|To like,|پسند کرنا|5|پسند کرنا|To like,||P17|Kailani — topic P17
NSM:TO:TO_LIKE_INTEND_DESIRE:X119C5451|To like, intend, desire|چاہنا|1|چاہنا|To like, intend, desire||CH5|Kailani — topic CH5
NSM:TO:TO_LIKE_INTEND_DESIRE:XBE0FA08B|To like, intend, desire|چاہنا|2|چاہنا|To like, intend, desire||CH5|Kailani — topic CH5
NSM:TO:TO_LIKE_INTEND_DESIRE:XCB22E4A9|To like, intend, desire|چاہنا|3|چاہنا|To like, intend, desire||CH5|Kailani — topic CH5
NSM:TO:TO_LIKE_INTEND_DESIRE:X36A9D753|To like, intend, desire|چاہنا|4|چاہنا|To like, intend, desire||CH5|Kailani — topic CH5
NSM:TO:TO_LIKE_INTEND_DESIRE:X988ADA1C|To like, intend, desire|چاہنا|6|چاہنا|To like, intend, desire||CH5|Kailani — topic CH5
NSM:TO:TO_LIKE_INTEND_DESIRE:X35B46C8C|To like, intend, desire|چاہنا|7|چاہنا|To like, intend, desire||CH5|Kailani — topic CH5
NSM:TO:TO_MARK_SCAR:X455F7161|To mark/scar|داغ دینا|4|داغ دینا|To mark/scar||D3|Kailani — topic D3
NSM:TO:TO_NARROW_DOWN:XACBC9972|To narrow down,|تنگ کرنا- ہونا|6|تنگ کرنا- ہونا|To narrow down,||T23|Kailani — topic T23
NSM:TO:TO_NARROW_DOWN:X96E8F981|To narrow down,|تنگ کرنا- ہونا|7|تنگ کرنا- ہونا|To narrow down,||T23|Kailani — topic T23
NSM:TO:TO_OBTAIN:X7976C0E6|To obtain|پانا|5|پانا|To obtain||P4|Kailani — topic P4
NSM:TO:TO_OBTAIN_HEAT:XDA38E96E|To obtain heat|گرمی حاصل کرنا|3|گرمی حاصل کرنا|To obtain heat||GG6|Kailani — topic GG6
NSM:TO:TO_PASS_BY:X5725D145|To pass by|گزرنا|7|گزرنا|To pass by||GG10|Kailani — topic GG10
NSM:TO:TO_PAWN:X50A3A2BF|To pawn|گروی رکھنا|3|گروی رکھنا|To pawn||GG8|Kailani — topic GG8
NSM:TO:TO_PITCH_PLANT:XEDE5E860|To pitch/plant|گاڑنا|5|گاڑنا|To pitch/plant||GG1|Kailani — topic GG1
NSM:TO:TO_PRAISE:XF27811D7|To praise|تعریف کرنا|3|تعریف کرنا|To praise||T15|Kailani — topic T15
NSM:TO:TO_PRAY_FOR_TO:X75F864F7|To pray for/to|دعا دینا - کرنا|5|دعا دینا - کرنا|To pray for/to||D12|Kailani — topic D12
NSM:TO:TO_PRAY_FOR_TO:X84CCA38D|To pray for/to|دعا دینا - کرنا|6|دعا دینا - کرنا|To pray for/to||D12|Kailani — topic D12
NSM:TO:TO_PREPARE:X15497BAC|To prepare|تیار کرنا|5|تیار کرنا|To prepare||T30|Kailani — topic T30
NSM:TO:TO_PRESENT:X1325267F|To present|پیش کرنا|3|پیش کرنا|To present||P55|Kailani — topic P55
NSM:TO:TO_PROHIBIT_STOP:XCB92A8B0|To prohibit, stop|روکنا|1|روکنا|To prohibit, stop||R17|Kailani — topic R17
NSM:TO:TO_PROHIBIT_STOP:XA0F49047|To prohibit, stop|روکنا|2|روکنا|To prohibit, stop||R17|Kailani — topic R17
NSM:TO:TO_PROHIBIT_STOP:XBE0FA08B|To prohibit, stop|روکنا|3|روکنا|To prohibit, stop||R17|Kailani — topic R17
NSM:TO:TO_PROHIBIT_STOP:X1F694036|To prohibit, stop|روکنا|4|روکنا|To prohibit, stop||R17|Kailani — topic R17
NSM:TO:TO_PROHIBIT_STOP:X56750292|To prohibit, stop|روکنا|5|روکنا|To prohibit, stop||R17|Kailani — topic R17
NSM:TO:TO_PROHIBIT_STOP:XFFA8517F|To prohibit, stop|روکنا|6|روکنا|To prohibit, stop||R17|Kailani — topic R17
NSM:TO:TO_PROHIBIT_STOP:XE57C96BA|To prohibit, stop|روکنا|7|روکنا|To prohibit, stop||R17|Kailani — topic R17
NSM:TO:TO_PROHIBIT_STOP:X29B50A05|To prohibit, stop|روکنا|8|روکنا|To prohibit, stop||R17|Kailani — topic R17
NSM:TO:TO_PROTECT:X14A4A864|To protect|حفاظت کرنا|1|حفاظت کرنا|To protect||HA9|Kailani — topic HA9
NSM:TO:TO_PURIFY_CLEANSE:XA9A1D65E|To purify, cleanse|پاک کرنا|6|پاک کرنا|To purify, cleanse||P3|Kailani — topic P3
NSM:TO:TO_PURSUE_FOLLOW_CAUSE_TO:X77CF9D2D|To pursue, follow, cause to|پیچھے لگانا - لگنا|4|پیچھے لگانا - لگنا|To pursue, follow, cause to||P52|Kailani — topic P52
NSM:TO:TO_PURSUE_FOLLOW_CAUSE_TO:X18F7BF32|To pursue, follow, cause to|پیچھے لگانا - لگنا|5|پیچھے لگانا - لگنا|To pursue, follow, cause to||P52|Kailani — topic P52
NSM:TO:TO_PUT_BEHIND_CAUSE_TO_DELAY:X929A78B6|To put behind, cause to delay|پیچھے کرنا یا ڈالنا|5|پیچھے کرنا یا ڈالنا|To put behind, cause to delay||P51|Kailani — topic P51
NSM:TO:TO_QUARREL:X119C5451|To quarrel|جھگڑنا|1|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_QUARREL:X6A9B00BF|To quarrel|جھگڑنا|2|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_QUARREL:X56750292|To quarrel|جھگڑنا|3|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_QUARREL:X51C9A584|To quarrel|جھگڑنا|4|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_QUARREL:X988ADA1C|To quarrel|جھگڑنا|5|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_QUARREL:X84D816DC|To quarrel|جھگڑنا|6|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_QUARREL:X6DDAA72E|To quarrel|جھگڑنا|7|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_QUARREL:XBE0FA08B|To quarrel|جھگڑنا|8|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_QUARREL:X1F92234E|To quarrel|جھگڑنا|10|جھگڑنا|To quarrel||J25|Kailani — topic J25
NSM:TO:TO_RAISE_HEAD:XBE0FA08B|To raise head|سر اٹھانا|1|سر اٹھانا|To raise head||S12|Kailani — topic S12
NSM:TO:TO_RAISE_HEAD:XCC4EDB40|To raise head|سر اٹھانا|2|سر اٹھانا|To raise head||S12|Kailani — topic S12
NSM:TO:TO_REACH:XBA0392A9|To reach|پہنچنا|10|پہنچنا|To reach||P30|Kailani — topic P30
NSM:TO:TO_RECOGNIZE:XE6C1052D|To recognize|پہچاننا|3|پہچاننا|To recognize||P27|Kailani — topic P27
NSM:TO:TO_REFLECT:X09F4CDAF|To reflect|غور کرنا|6|غور کرنا|To reflect||GH9|Kailani — topic GH9
NSM:TO:TO_REGRET:X0F59D6F2|To regret|پچھتانا|4|پچھتانا|To regret||P11|Kailani — topic P11
NSM:TO:TO_REVEAL_MANIFEST:X9271EFB2|To reveal, manifest|ظاہر کرنا|6|ظاہر کرنا|To reveal, manifest||ZA2|Kailani — topic ZA2
NSM:TO:TO_RIDE_TO_MOUNT:XF4761E86|To ride, to mount|سوار ہونا - کرنا|1|سوار ہونا - کرنا|To ride, to mount||S23|Kailani — topic S23
NSM:TO:TO_RIDE_TO_MOUNT:X84CCA38D|To ride, to mount|سوار ہونا - کرنا|2|سوار ہونا - کرنا|To ride, to mount||S23|Kailani — topic S23
NSM:TO:TO_RUIN_CORRUPT:X84D816DC|To ruin, corrupt|خراب کرنا- ہونا|1|خراب کرنا- ہونا|To ruin, corrupt||KH6|Kailani — topic KH6
NSM:TO:TO_RUIN_CORRUPT:XBE0FA08B|To ruin, corrupt|خراب کرنا- ہونا|2|خراب کرنا- ہونا|To ruin, corrupt||KH6|Kailani — topic KH6
NSM:TO:TO_RUIN_CORRUPT:X6E6A73AD|To ruin, corrupt|خراب کرنا- ہونا|3|خراب کرنا- ہونا|To ruin, corrupt||KH6|Kailani — topic KH6
NSM:TO:TO_RUIN_CORRUPT:XA0F49047|To ruin, corrupt|خراب کرنا- ہونا|4|خراب کرنا- ہونا|To ruin, corrupt||KH6|Kailani — topic KH6
NSM:TO:TO_RUIN_CORRUPT:XD9910D2B|To ruin, corrupt|خراب کرنا- ہونا|5|خراب کرنا- ہونا|To ruin, corrupt||KH6|Kailani — topic KH6
NSM:TO:TO_RUIN_CORRUPT:X96E8F981|To ruin, corrupt|خراب کرنا- ہونا|6|خراب کرنا- ہونا|To ruin, corrupt||KH6|Kailani — topic KH6
NSM:TO:TO_RUN:XAF9673C2|To run|ڈورنا|12|ڈورنا|To run||D20|Kailani — topic D20
NSM:TO:TO_SATISFY_TO_BE_PLEASED:X26B11E46|To satisfy, to be pleased|راضی کرنا - ہونا|4|راضی کرنا - ہونا|To satisfy, to be pleased||R5|Kailani — topic R5
NSM:TO:TO_SATISFY_TO_BE_PLEASED:X96E8F981|To satisfy, to be pleased|راضی کرنا - ہونا|5|راضی کرنا - ہونا|To satisfy, to be pleased||R5|Kailani — topic R5
NSM:TO:TO_SCOLD:XA83185C0|To scold|جھڑکنا|1|جھڑکنا|To scold||J22|Kailani — topic J22
NSM:TO:TO_SCOLD:XBE0FA08B|To scold|جھڑکنا|2|جھڑکنا|To scold||J22|Kailani — topic J22
NSM:TO:TO_SCOLD:XCB92A8B0|To scold|جھڑکنا|3|جھڑکنا|To scold||J22|Kailani — topic J22
NSM:TO:TO_SCREAM:X9CB766C1|To scream|چلانا چیخنا|6|چلانا چیخنا|To scream||CH14|Kailani — topic CH14
NSM:TO:TO_SEARCH:X7B0BC7E4|To search|ڈھونڈنا|8|ڈھونڈنا|To search||DD9|Kailani — topic DD9
NSM:TO:TO_SEIZE:X8F5BD20D|To seize|پکڑنا|10|پکڑنا|To seize||P19|Kailani — topic P19
NSM:TO:TO_SHOUT_CALL_OUT:XD2398605|To shout, call out|پکارنا|6|پکارنا|To shout, call out||P18|Kailani — topic P18
